C1:1
C2:1
C3:1
C5:1
C6:1
C7:1
CF1:1
IC1:1
IC2:1
IC3:1
IC4:1
IC5:1
J3:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
RF1:1
