Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",0603,3,100n,
C3,0603,1,1n,
"C5, C7",0603,2,10n,
CF1,0603,1,10p,
IC1,SOT95P280X145-5N,1,OPA354AIDBVTG4,
"IC2, IC3, IC4, IC5",AFBRS4N44P014M,4,AFBR-S4N44P014M,
J3,117348390,1,1-1734839-0,
R1,0603,1,100,
"R2, R4, R5, R6",0603,4,50,
R3,0603,1,0,
RF1,0603,1,200,
