Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C16, C2, C7, C8, C9",0603,8,100n,
"C12, C13, C4, C5",0402,4,10n,
"C14, C6",0603,2,1u,
IC2,MICROFJ30035TSVTR_offset,1,MICROFJ-30035-TSV-TR,
IC4,AFBRS4N44P014M_offset,1,AFBR-S4N44P014M,
"J1, J2",Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,2,Conn_01x10_Socket,
"R10, R4",0603,2,0,
"R11, R2, R3, R5, R8, R9",0603,6,200,
"R12, R6",0603,2,50,
"U1, U2",SOT-23-5,2,LMH6609MF,
